City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
255,Marieville,CA,75.78,clear sky,45.4334,-73.1658,Manoir Ramezay
262,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
264,Chotila,IN,77.25,overcast clouds,22.4167,71.1833,Hotel Neptune
265,Malakal,SS,75.16,moderate rain,9.5334,31.6605,Nile Palace Hotel
268,Asfi,MA,79.05,clear sky,32.2994,-9.2372,Hôtel Abda
269,Panaba,MX,88.72,scattered clouds,21.2833,-88.2667,Hotel Don Fernando
270,Hobyo,SO,76.87,broken clouds,5.3505,48.5268,Iftin hotel hobyo
280,Epe,NG,81.14,light rain,6.5841,3.9834,MAGVILLE HOTEL
287,Iracoubo,GF,84.18,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
288,Marovoay,MG,77.76,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
298,Salvador,SV,83.05,scattered clouds,13.8333,-88.9167,Chico's Ranch
299,Puerto Maldonado,PE,90.0,broken clouds,-12.6,-69.1833,Wasai Hotel
300,Kindu,CD,84.4,clear sky,-2.95,25.95,Résidence Okanda
304,Novelda,ES,84.49,few clouds,38.3848,-0.7677,Hotel Restaurante Palacios
306,Makat,KZ,83.91,clear sky,47.6469,53.3463,Umit
307,Methala,IN,77.0,overcast clouds,10.2166,76.2166,Style Homes Holiday Inn
309,Puerto Narino,CO,83.95,clear sky,-3.7703,-70.3831,Eware Refugio Amazonico
310,Ust-Tsilma,RU,76.66,overcast clouds,65.441,52.1498,U Praskov'i
314,Tortosa,ES,87.8,clear sky,40.8125,0.5216,Parador de Tortosa
315,Najran,SA,89.91,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
317,Palmas De Monte Alto,BR,85.17,clear sky,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
318,Kisangani,CD,83.35,few clouds,0.5167,25.2,Grand Ramela Hotel
319,Mattru,SL,79.43,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
320,Lasa,IT,77.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
321,Cotonou,BJ,80.17,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
323,Kos,GR,81.84,clear sky,36.8933,27.2889,Americana Hotel
324,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
325,Pio Ix,BR,82.35,broken clouds,-6.8375,-40.5792,Hotel Central
326,Mahon,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
327,Los Algarrobos,PA,82.81,few clouds,8.5,-82.4333,Waterfall Hostel
333,Yining,CN,76.78,broken clouds,29.0361,114.5636,Xiushui Hotel
335,Saint-Georges,GD,81.99,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
336,Eirunepe,BR,87.17,clear sky,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
337,Salisbury,GB,76.68,few clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
344,Aljezur,PT,83.05,clear sky,37.3191,-8.8033,Amazigh Hostel
345,Niquero,CU,85.26,clear sky,20.0431,-77.5828,Islazul Niquero
347,Matara,LK,79.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
348,Tamandare,BR,78.19,clear sky,-8.7597,-35.1047,Pousada 100 Passos
351,Senigallia,IT,84.24,light rain,43.7093,13.2167,Hotel Universal
353,Finale Emilia,IT,88.95,broken clouds,44.8346,11.2939,HOTEL CASA MAGAGNOLI
355,Carutapera,BR,84.38,clear sky,-1.195,-46.02,Lidera
357,Natitingou,BJ,85.39,broken clouds,10.3042,1.3796,Cotonou
362,Ramsar,IR,76.23,few clouds,36.9226,50.6426,Rasa Residential Hotel
363,Ripoll,ES,87.08,clear sky,42.2006,2.1903,Hotel Solana Del Ter
364,Harper,LR,77.85,overcast clouds,4.375,-7.7169,Screensaver
366,Tabuk,PH,76.01,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
369,Tabou,CI,77.5,light rain,4.423,-7.3528,hotêl doufoulougou
372,Areosa,PT,78.01,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
373,Nizhniy Odes,RU,76.17,broken clouds,63.6445,54.856,Gostinitsa Uyut
374,Zlitan,LY,88.95,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
377,Chambersburg,US,76.73,overcast clouds,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
379,Bafra,TR,76.08,clear sky,41.5678,35.9069,Sevgi Otel
382,Kouroussa,GN,85.32,light rain,10.65,-9.8833,Hotel Tando Plus
386,Padang,ID,78.06,few clouds,-0.9492,100.3543,Mercure Padang
388,Eyl,SO,79.7,overcast clouds,7.9803,49.8164,Amiin Hotel
391,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
392,Bull Savanna,JM,84.65,clear sky,17.8868,-77.5902,Big Red's
403,Brunswick,US,80.82,scattered clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
404,Yenagoa,NG,79.86,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
405,Pradera,CO,83.08,scattered clouds,3.4211,-76.2447,conjunto pradera
407,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
408,Vallenar,CL,75.92,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
415,Peruibe,BR,82.49,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
419,Itarema,BR,84.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
421,Banfora,BF,89.49,broken clouds,10.6333,-4.7667,Residences David Hebié
423,Touros,BR,82.53,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
426,Nizhniy Baskunchak,RU,85.87,clear sky,48.2198,46.8311,Arman hotel
427,Anloga,GH,79.05,broken clouds,5.7947,0.8973,Pin Drop Hotel
428,Oxford,GB,78.19,few clouds,51.7522,-1.256,Malmaison Oxford
430,Kudahuvadhoo,MV,83.21,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
432,Kapoeta,SS,75.42,overcast clouds,4.7717,33.5903,Eastgate Hotel
437,Tukrah,LY,84.81,clear sky,32.5341,20.5791,Lagrota restaurant
439,Mikhaylovka,RU,78.87,clear sky,50.06,43.2379,5 Komnat
441,America Dourada,BR,75.34,broken clouds,-11.4553,-41.4361,Pousada do Ninho
444,La Palma,US,80.96,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
445,Lodwar,KE,88.52,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
446,Timbiqui,CO,82.98,light rain,2.7717,-77.6654,Hotel Sharey
447,Bandarbeyla,SO,76.3,few clouds,9.4942,50.8122,JABIR HOTEL
448,Bonthe,SL,80.56,light rain,7.5264,-12.505,Bonthe Holiday Village
449,Lamu,KE,77.22,scattered clouds,-2.2717,40.902,Lamu House
450,Mahibadhoo,MV,83.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
452,Carmen,MX,84.24,scattered clouds,18.6333,-91.8333,Hotel Lossandes
454,Ormara,PK,84.38,very heavy rain,25.2088,64.6357,Kenara Colony House for Rent
458,Ciudad Bolivar,VE,87.48,scattered clouds,8.1222,-63.5497,Hotel Edi
459,Requena,ES,78.78,clear sky,39.4883,-1.1004,Hotel Avenida
466,Dwarka,IN,80.74,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
470,Palafrugell,ES,88.34,clear sky,41.9174,3.1631,Hotel La Torre
471,Krasnoborsk,RU,77.58,broken clouds,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
473,Sao Jose Da Coroa Grande,BR,78.89,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
474,Acarau,BR,84.09,overcast clouds,-2.8856,-40.12,castelo pizzaria
477,Segarcea,RO,77.68,scattered clouds,44.1,23.75,Cralovati Timis
478,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
479,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
482,Constantine,DZ,85.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
485,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
486,Abha,SA,75.45,scattered clouds,18.2164,42.5053,Abha Hotel
488,Canoas,BR,75.85,light rain,-29.9178,-51.1836,Hotel Metropolitan
490,Nalhati,IN,89.1,broken clouds,24.3,87.8167,GAMING EVO
495,Lethem,GY,86.16,scattered clouds,3.3803,-59.7968,Savannah Inn
496,Iacu,BR,81.43,overcast clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
497,San-Pedro,CI,77.43,overcast clouds,4.7485,-6.6363,Hotel Maria
498,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
502,San Juan De Los Morros,VE,83.62,broken clouds,9.9115,-67.3538,Hotel La Montaña
503,Murwara,IN,86.76,overcast clouds,23.85,80.4,HOTEL BRIJWASI ROYAL
507,Palamos,ES,88.99,clear sky,41.8484,3.1291,Hotel Rosamar
508,Muscat,OM,82.42,overcast clouds,23.6139,58.5922,Mutrah Hotel
509,Mindelo,CV,75.96,clear sky,16.8901,-24.9804,Hotel Gaudi
510,Aliquippa,US,84.34,scattered clouds,40.6367,-80.2401,Forest Brook Mobile Home Park
514,Laurel,US,79.59,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
516,Bubaque,GW,80.83,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
517,Kjustendil,BG,77.49,scattered clouds,42.2839,22.6911,Hotel Ramira
521,Alekseyevka,RU,79.16,clear sky,50.6309,38.6903,Apartment on Ploshchad Pobedy
522,Umarkot,PK,89.2,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
527,Sinnamary,GF,84.7,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
528,Tarrafal,CV,75.47,broken clouds,15.2833,-23.7667,Hotel Ixola
532,Vuktyl,RU,75.63,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
534,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
535,Kibala,TD,89.55,scattered clouds,9.1104,18.3463,Prasant Hotels
537,Pottsville,US,80.49,overcast clouds,40.6857,-76.1955,Ramada by Wyndham Pottsville/Frackville
547,Sangmelima,CM,76.5,light rain,2.9333,11.9833,gamestar hotel
549,Mandera,KE,82.72,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
550,Narasannapeta,IN,82.99,overcast clouds,18.4167,84.05,AVK events and catering
551,Santa Maria Da Vitoria,BR,87.15,clear sky,-13.3947,-44.1886,Pousada Rio Current
553,Shahr-E Babak,IR,86.83,clear sky,30.1165,55.1186,سلاطین مس و نقره
555,Arkadak,RU,76.48,scattered clouds,51.9326,43.4978,Khoper
558,Balykshi,KZ,78.8,clear sky,47.0667,51.8667,Гостиница Golden Rose
559,Hohoe,GH,83.46,light rain,7.1518,0.4736,Agumatsa Falls Lodge
564,Nesebar,BG,77.88,overcast clouds,42.7833,27.7333,Sunset Complex
567,Mana,GF,85.23,few clouds,5.6592,-53.7767,LE SAMANA
569,Piacabucu,BR,79.21,few clouds,-10.4056,-36.4344,Piaçabuçu News
574,Mogadishu,SO,76.53,few clouds,2.0371,45.3438,Hotel Juba
575,Ayame,CI,78.87,light rain,5.6083,-3.1563,Hotel Bossan
578,Apomu,NG,80.4,moderate rain,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
579,Mouzouras,GR,87.8,clear sky,35.5333,24.15,Areti Suites
580,Wana,PK,81.34,broken clouds,32.2989,69.5725,Rest House at Wana Camp
581,Quixere,BR,83.3,broken clouds,-5.0742,-37.9886,Pousada Casa de la Abuela
582,Hastings,GB,76.39,scattered clouds,50.8552,0.5729,Zanzibar Hotel
583,Lucea,JM,85.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
584,Junagarh,IN,84.24,overcast clouds,19.8667,82.9333,Hotel Swagat
586,Jacqueville,CI,78.51,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
588,Port Blair,IN,81.68,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
591,Soure,BR,81.86,few clouds,-0.7167,-48.5233,Casarão da Amazônia
592,Puerto Colombia,CO,87.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
595,Maunabo,PR,89.47,overcast clouds,18.0072,-65.8993,Parador Maunacaribe
597,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
606,Banda Aceh,ID,80.65,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
607,Abaete,BR,80.78,clear sky,-19.16,-45.4458,Hotel Millenium
608,Safaga,EG,89.49,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
616,Padre Paraiso,BR,78.26,clear sky,-17.0742,-41.4844,Pousada Três Irmãos
617,Newport,GB,78.12,clear sky,51.5877,-2.9984,ibis budget Newport
626,Salmas,IR,76.69,overcast clouds,38.1973,44.7653,Ata Hotel
630,Simoes,BR,80.65,scattered clouds,-7.5989,-40.8178,Hotel Ponto Certo
631,Cockburn Town,TC,81.7,clear sky,21.4612,-71.1419,Osprey Beach Hotel
637,Partur,IN,76.35,overcast clouds,19.6,76.2167,Prasanna Deshpande
640,Tamluk,IN,84.58,broken clouds,22.3,87.9167,Green Valley Resort
641,Mantenopolis,BR,79.36,clear sky,-18.8625,-41.1228,Deed's Hotel
642,Male,MV,83.26,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
643,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
646,Rodrigues Alves,BR,88.92,few clouds,-7.738,-72.6509,Pousada Aconchego
647,La Asuncion,VE,82.09,broken clouds,11.0333,-63.8628,Colinas de Matasiete
659,Meridian,US,77.5,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
660,Ipanema,BR,76.01,broken clouds,-30.1391,-51.2244,Terra e Brisa
663,Saposoa,PE,81.41,scattered clouds,-6.934,-76.7716,Hostal Primavera
664,Umm Lajj,SA,88.93,scattered clouds,25.0213,37.2685,Moon light Furnished Units
667,Juazeirinho,BR,86.65,overcast clouds,-6.8167,-38.05,Lar dos Batista Queiroga
670,Waling,NP,78.39,broken clouds,27.9833,83.7667,Venus Hotel
673,Limbe,CM,78.66,light rain,4.0242,9.2149,The LK Hotel at Bonadikombo
675,Torres,BR,76.82,overcast clouds,-29.3353,-49.7269,Farol Hotel
676,Dharmavaram,IN,76.5,overcast clouds,14.4333,77.7167,BALAJI LODGE
