City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Port Elizabeth,ZA,2022-07-07 16:11:07,-33.918,25.5701,57.09,79,60,4.72,broken clouds
60,Maxixe,MZ,2022-07-07 16:11:07,-23.8597,35.3472,65.14,74,0,5.35,clear sky
61,Saint-Philippe,RE,2022-07-07 16:11:07,-21.3585,55.7679,71.19,76,91,15.03,overcast clouds
62,Buchanan,LR,2022-07-07 16:11:08,5.8808,-10.0467,79.68,76,65,11.34,light rain
63,Thurso,GB,2022-07-07 16:11:08,58.5927,-3.5259,64.65,86,100,23.22,overcast clouds
64,Chipiona,ES,2022-07-07 16:06:14,36.7366,-6.437,98.78,51,0,12.66,clear sky
65,Alice Town,BS,2022-07-07 16:11:09,25.7167,-79.3,83.23,68,100,10.83,overcast clouds
66,Uthal,PK,2022-07-07 16:11:09,25.8072,66.6219,84.94,78,97,9.57,light rain
67,Torbay,CA,2022-07-07 16:09:30,47.6666,-52.7314,66.97,94,100,16.11,overcast clouds
68,Paamiut,GL,2022-07-07 16:11:10,61.994,-49.6678,41.83,90,23,8.97,few clouds
69,Chuy,UY,2022-07-07 16:09:33,-33.6971,-53.4616,60.31,54,0,11.39,clear sky
70,Ornes,NO,2022-07-07 16:11:11,66.8689,13.7078,50.99,94,100,11.45,light rain
71,Fort-Shevchenko,KZ,2022-07-07 16:11:11,44.5086,50.263,75.02,55,0,13.29,clear sky
72,Olafsvik,IS,2022-07-07 16:11:12,64.8945,-23.7142,48.11,94,100,23.4,overcast clouds
73,Estepa,ES,2022-07-07 16:11:12,37.2926,-4.879,100.8,19,0,8.3,clear sky
74,Olinda,BR,2022-07-07 16:11:12,-8.0089,-34.8553,80.33,78,75,14.97,broken clouds
75,Vardo,NO,2022-07-07 16:11:13,70.3705,31.1107,57.18,82,0,4.61,clear sky
76,Tazovskiy,RU,2022-07-07 16:11:14,67.4667,78.7,59.22,64,43,7.0,scattered clouds
77,Camacha,PT,2022-07-07 16:11:14,33.0833,-16.3333,72.82,57,75,16.11,broken clouds
78,Ugoofaaru,MV,2022-07-07 16:11:14,5.6667,73.0,82.69,79,100,13.65,light rain
79,Santa Rosa,PH,2022-07-07 16:07:01,14.3122,121.1114,80.11,93,100,1.05,light rain
80,Port Alfred,ZA,2022-07-07 16:11:15,-33.5906,26.891,58.17,79,31,3.83,scattered clouds
81,Ostrovnoy,RU,2022-07-07 16:11:15,68.0531,39.5131,64.09,59,93,8.34,overcast clouds
82,Sistranda,NO,2022-07-07 16:11:16,63.7256,8.834,49.96,83,100,27.74,overcast clouds
83,Hamilton,US,2022-07-07 16:11:04,39.1834,-84.5333,83.57,79,100,4.61,overcast clouds
84,Nueva Italia,PY,2022-07-07 16:11:16,-25.6167,-57.5,83.43,31,45,11.27,scattered clouds
85,Cape Town,ZA,2022-07-07 16:11:17,-33.9258,18.4232,60.39,85,96,3.0,light rain
86,Viedma,AR,2022-07-07 16:11:17,-40.8135,-62.9967,51.33,29,2,24.4,clear sky
87,Araouane,ML,2022-07-07 16:11:18,18.9048,-3.5265,107.17,16,29,8.5,scattered clouds
88,Tessalit,ML,2022-07-07 16:11:18,20.1986,1.0114,107.67,9,1,10.11,clear sky
89,Port Hawkesbury,CA,2022-07-07 16:11:18,45.6169,-61.3485,70.18,70,0,17.0,clear sky
90,Turayf,SA,2022-07-07 16:11:19,31.6725,38.6637,91.67,13,0,6.8,clear sky
91,Istria,RO,2022-07-07 16:11:19,44.5667,28.7167,83.35,45,41,18.25,scattered clouds
92,Road Town,VG,2022-07-07 16:11:20,18.4167,-64.6167,87.89,66,40,9.22,scattered clouds
93,Maniitsoq,GL,2022-07-07 16:11:20,65.4167,-52.9,42.93,89,100,3.53,overcast clouds
94,Lagoa,PT,2022-07-07 16:11:21,39.05,-27.9833,66.34,78,99,13.27,overcast clouds
95,Tasiilaq,GL,2022-07-07 16:11:21,65.6145,-37.6368,51.96,86,100,5.39,overcast clouds
96,Kasongo-Lunda,CD,2022-07-07 16:11:22,-6.4667,16.8167,89.78,20,87,3.89,overcast clouds
97,Kudymkar,RU,2022-07-07 16:11:22,59.0173,54.656,71.49,76,7,5.75,clear sky
98,San Cristobal,VE,2022-07-07 16:11:22,7.7669,-72.225,80.78,58,41,7.99,scattered clouds
99,Berlevag,NO,2022-07-07 16:11:23,70.8578,29.0864,57.2,82,100,2.3,overcast clouds
100,Korla,CN,2022-07-07 16:11:23,41.7597,86.1469,86.77,15,47,15.99,scattered clouds
101,Luba,GQ,2022-07-07 16:11:23,3.4568,8.5547,77.49,89,76,12.24,light rain
102,Puerto Ayacucho,VE,2022-07-07 16:11:24,5.6639,-67.6236,81.14,81,93,3.38,overcast clouds
103,Vila Velha,BR,2022-07-07 16:11:24,-20.3297,-40.2925,82.35,64,20,12.66,few clouds
104,Stokmarknes,NO,2022-07-07 16:11:24,68.5646,14.9108,51.76,87,75,14.97,light intensity drizzle
105,Naustdal,NO,2022-07-07 16:11:24,61.509,5.7168,61.12,71,75,10.36,light rain
106,Meulaboh,ID,2022-07-07 16:11:25,4.1363,96.1285,78.57,80,30,1.92,scattered clouds
107,Hambantota,LK,2022-07-07 16:11:25,6.1241,81.1185,81.18,73,89,17.47,overcast clouds
108,Firovo,RU,2022-07-07 16:11:25,57.4814,33.7021,64.56,65,98,7.47,overcast clouds
109,Ancud,CL,2022-07-07 16:11:26,-41.8697,-73.8203,47.23,86,100,16.58,light rain
110,Bestobe,KZ,2022-07-07 16:11:26,52.4994,73.0975,64.18,70,100,6.85,light rain
111,Souillac,MU,2022-07-07 16:11:26,-20.5167,57.5167,70.18,68,75,16.11,broken clouds
112,Atar,MR,2022-07-07 16:11:27,20.5169,-13.0499,111.94,9,1,10.02,clear sky
113,Muisne,EC,2022-07-07 16:11:27,0.6,-80.0333,74.55,84,100,9.35,overcast clouds
114,Mega,ET,2022-07-07 16:11:27,4.05,38.3,60.24,73,94,10.92,overcast clouds
115,Ilulissat,GL,2022-07-07 16:11:28,69.2167,-51.1,42.82,87,75,3.44,broken clouds
116,Shache,CN,2022-07-07 16:11:28,38.4167,77.2406,89.11,19,99,4.59,overcast clouds
117,Sabya,SA,2022-07-07 16:11:29,17.1495,42.6254,91.6,53,100,7.87,overcast clouds
118,Tubuala,PA,2022-07-07 16:11:29,9.5167,-79.0333,82.02,80,100,9.62,overcast clouds
119,Hauterive,FR,2022-07-07 16:11:29,46.0901,3.4459,75.96,49,15,11.23,few clouds
120,Vila Franca Do Campo,PT,2022-07-07 16:10:36,37.7167,-25.4333,75.2,64,80,9.35,broken clouds
121,Iskateley,RU,2022-07-07 16:11:30,67.6803,53.1512,69.66,56,100,6.73,overcast clouds
122,Batangafo,CF,2022-07-07 16:11:30,7.3008,18.2833,85.53,66,37,2.91,scattered clouds
