City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Quelimane,MZ,2022-07-07 15:41:54,-17.8786,36.8883,73.35,78,20,6.91,few clouds
60,Karatau,KZ,2022-07-07 15:50:53,43.1667,70.4667,69.51,30,0,5.79,clear sky
61,Mezen,RU,2022-07-07 15:42:15,65.8522,44.24,56.82,97,100,2.55,light rain
62,Ponta Delgada,PT,2022-07-07 15:49:12,37.7333,-25.6667,75.51,62,51,8.43,broken clouds
63,Vijayawada,IN,2022-07-07 15:45:57,16.5167,80.6167,80.55,94,100,0.0,moderate rain
64,Tyukhtet,RU,2022-07-07 15:50:53,56.5389,89.3011,60.19,89,81,5.21,broken clouds
65,Bardiyah,LY,2022-07-07 15:41:39,31.7561,25.0865,82.42,69,0,15.12,clear sky
66,Tarko-Sale,RU,2022-07-07 15:50:53,64.9225,77.785,67.14,60,75,8.9,broken clouds
67,Nanortalik,GL,2022-07-07 15:48:27,60.1432,-45.2371,45.07,88,77,5.35,broken clouds
68,Bembibre,ES,2022-07-07 15:50:54,42.6177,-6.4155,90.25,11,0,5.99,clear sky
69,Tocopilla,CL,2022-07-07 15:50:54,-22.092,-70.1979,68.25,60,44,5.08,scattered clouds
70,Kilindoni,TZ,2022-07-07 15:50:54,-7.9139,39.6668,76.57,73,12,14.14,few clouds
71,Yar-Sale,RU,2022-07-07 15:48:43,66.8333,70.8333,67.42,77,54,9.4,moderate rain
72,Bredasdorp,ZA,2022-07-07 15:48:47,-34.5322,20.0403,54.21,83,54,6.49,broken clouds
73,Kristianstad,SE,2022-07-07 15:50:55,56.0313,14.1524,69.94,71,75,11.5,broken clouds
74,Dhidhdhoo,MV,2022-07-07 15:50:55,6.8833,73.1,81.66,83,100,13.98,overcast clouds
75,Zhukovka,RU,2022-07-07 15:50:55,53.534,33.728,68.27,73,38,8.43,scattered clouds
76,Port Elizabeth,ZA,2022-07-07 15:50:56,-33.918,25.5701,61.09,88,0,6.91,clear sky
77,Sal Rei,CV,2022-07-07 15:50:56,16.1833,-22.9167,79.0,69,75,18.41,broken clouds
78,Husavik,IS,2022-07-07 15:50:56,66.0449,-17.3389,52.11,87,100,6.15,overcast clouds
79,Jesup,US,2022-07-07 15:50:56,31.6074,-81.8854,92.95,58,0,0.0,clear sky
80,Lodeynoye Pole,RU,2022-07-07 15:50:57,60.726,33.5531,59.59,87,100,7.65,overcast clouds
81,Havoysund,NO,2022-07-07 15:41:00,70.9963,24.6622,55.63,80,100,5.86,light rain
82,Constitucion,CL,2022-07-07 15:50:57,-35.3333,-72.4167,52.7,69,49,7.7,scattered clouds
83,Ribeira Grande,PT,2022-07-07 15:48:35,38.5167,-28.7,70.2,73,40,5.75,scattered clouds
84,Porto Walter,BR,2022-07-07 15:41:26,-8.2686,-72.7439,89.85,49,13,2.53,few clouds
85,Edd,ER,2022-07-07 15:50:58,13.9297,41.6925,90.54,56,100,7.34,overcast clouds
86,Awbari,LY,2022-07-07 15:50:58,26.5921,12.7805,101.19,11,0,21.97,clear sky
87,Cap Malheureux,MU,2022-07-07 15:41:17,-19.9842,57.6142,68.47,73,30,1.99,scattered clouds
88,Cidreira,BR,2022-07-07 15:48:58,-30.1811,-50.2056,65.88,74,100,5.23,light rain
89,Upernavik,GL,2022-07-07 15:48:41,72.7868,-56.1549,38.8,88,73,13.18,broken clouds
90,Ponezhukay,RU,2022-07-07 15:50:59,44.8876,39.3855,84.09,40,0,13.85,clear sky
91,Malakal,SS,2022-07-07 15:50:59,9.5334,31.6605,75.16,85,96,7.09,moderate rain
92,Ayolas,PY,2022-07-07 15:50:59,-27.4,-56.9,69.69,62,89,4.36,overcast clouds
93,Bambous Virieux,MU,2022-07-07 15:48:38,-20.3428,57.7575,71.85,64,40,14.97,scattered clouds
94,Bida,NG,2022-07-07 15:51:00,9.0833,6.0167,92.43,48,50,0.87,scattered clouds
95,Vardo,NO,2022-07-07 15:48:40,70.3705,31.1107,55.38,82,0,3.44,clear sky
96,Larsnes,NO,2022-07-07 15:51:00,62.2028,5.5773,57.61,83,90,12.28,overcast clouds
97,Syracuse,IT,2022-07-07 15:51:00,37.0881,15.2792,90.99,60,58,13.6,broken clouds
98,Ardino,BG,2022-07-07 15:51:00,41.5833,25.1333,76.39,48,57,5.66,broken clouds
99,Cayenne,GF,2022-07-07 15:51:01,4.9333,-52.3333,87.84,32,75,11.5,broken clouds
100,Halifax,CA,2022-07-07 15:48:38,44.6453,-63.5724,72.68,50,20,13.8,few clouds
101,Nikolskoye,RU,2022-07-07 15:51:01,59.7035,30.7861,69.87,52,74,5.88,broken clouds
102,Adelaide,AU,2022-07-07 15:51:01,-34.9333,138.6,50.85,85,100,0.0,fog
103,Ouargaye,BF,2022-07-07 15:51:02,11.5033,0.0572,97.05,32,100,6.31,overcast clouds
104,Laguna,US,2022-07-07 15:51:02,38.421,-121.4238,70.02,75,100,5.75,overcast clouds
105,Roald,NO,2022-07-07 15:49:20,62.5833,6.1333,57.9,82,75,18.41,broken clouds
106,Bonavista,CA,2022-07-07 15:47:19,48.6499,-53.1147,56.91,99,100,13.22,light rain
107,Khash,IR,2022-07-07 15:51:03,28.2211,61.2158,83.64,23,63,14.7,broken clouds
108,Olafsvik,IS,2022-07-07 15:48:52,64.8945,-23.7142,48.11,94,100,23.4,overcast clouds
109,Hithadhoo,MV,2022-07-07 15:49:07,-0.6,73.0833,82.9,76,100,6.87,overcast clouds
110,Vila Velha,BR,2022-07-07 15:51:05,-20.3297,-40.2925,82.35,65,40,6.91,scattered clouds
111,Bathsheba,BB,2022-07-07 15:51:05,13.2167,-59.5167,88.41,80,40,21.85,scattered clouds
112,Kattivakkam,IN,2022-07-07 15:51:06,13.2167,80.3167,86.09,77,100,16.96,overcast clouds
113,Faya,SA,2022-07-07 15:51:06,18.3851,42.4509,78.91,49,98,7.67,overcast clouds
114,Klaksvik,FO,2022-07-07 15:51:07,62.2266,-6.589,52.72,84,51,26.73,broken clouds
115,Beyneu,KZ,2022-07-07 15:51:07,45.3167,55.2,83.35,29,0,5.61,clear sky
116,East London,ZA,2022-07-07 15:46:15,-33.0153,27.9116,63.54,82,0,0.0,clear sky
117,Sao Joao Da Barra,BR,2022-07-07 15:51:08,-21.6403,-41.0511,82.49,63,0,12.5,clear sky
118,Gornopravdinsk,RU,2022-07-07 15:51:08,60.05,69.9,63.86,68,3,1.45,clear sky
119,Havre-Saint-Pierre,CA,2022-07-07 15:48:54,50.2334,-63.5986,70.16,37,75,12.66,broken clouds
120,Halden,NO,2022-07-07 15:51:10,59.1226,11.3871,73.83,33,45,4.27,scattered clouds
121,Waddan,LY,2022-07-07 15:51:10,29.1614,16.139,100.22,15,0,17.6,clear sky
122,Namibe,AO,2022-07-07 15:49:24,-15.1961,12.1522,67.87,80,4,8.75,clear sky
123,Souillac,MU,2022-07-07 15:48:37,-20.5167,57.5167,71.98,64,40,14.97,scattered clouds
124,Oskemen,KZ,2022-07-07 15:51:12,49.9565,82.6119,71.56,53,100,4.47,overcast clouds
125,Plettenberg Bay,ZA,2022-07-07 15:41:23,-34.0527,23.3716,57.79,74,98,3.47,overcast clouds
126,Ordubad,AZ,2022-07-07 15:51:12,38.9059,46.0234,73.35,56,18,10.45,few clouds
127,Kargasok,RU,2022-07-07 15:51:13,59.0556,80.8572,62.87,70,78,5.53,broken clouds
128,Quatre Cocos,MU,2022-07-07 15:48:54,-20.2078,57.7625,71.71,66,85,19.89,overcast clouds
129,Yangambi,CD,2022-07-07 15:51:13,0.8102,24.4336,79.29,64,74,1.43,broken clouds
130,Palaikastron,GR,2022-07-07 15:51:13,35.2,26.25,78.76,61,0,21.94,clear sky
131,Arraial Do Cabo,BR,2022-07-07 15:48:24,-22.9661,-42.0278,84.16,42,0,19.57,clear sky
132,Ashdod,IL,2022-07-07 15:51:14,31.8167,34.65,87.19,68,0,8.79,clear sky
133,Sept-Iles,CA,2022-07-07 15:48:20,50.2001,-66.3821,70.23,40,75,8.05,broken clouds
134,Tyup,KG,2022-07-07 15:51:15,42.7276,78.3648,55.65,86,45,6.04,scattered clouds
135,Graaff-Reinet,ZA,2022-07-07 15:51:15,-32.2522,24.5308,60.03,33,1,8.23,clear sky
136,Doha,QA,2022-07-07 15:39:49,25.2867,51.5333,100.71,77,86,10.36,dust
137,Praia Da Vitoria,PT,2022-07-07 15:41:53,38.7333,-27.0667,72.75,78,75,11.01,broken clouds
138,Gwanda,ZW,2022-07-07 15:51:16,-20.9333,29.0,62.74,41,0,6.69,clear sky
139,Korla,CN,2022-07-07 15:51:16,41.7597,86.1469,86.77,15,47,15.99,scattered clouds
140,Pizarro,CO,2022-07-07 15:51:17,4.9533,-77.366,80.49,83,39,6.89,light rain
141,Sainte-Thecle,CA,2022-07-07 15:51:17,46.8168,-72.4991,68.05,42,100,2.82,overcast clouds
142,Baracoa,CU,2022-07-07 15:51:18,20.3467,-74.4958,84.43,73,57,6.42,broken clouds
143,Abalak,RU,2022-07-07 15:51:18,58.1286,68.5944,64.15,76,65,4.68,broken clouds
144,Coquimbo,CL,2022-07-07 15:48:14,-29.9533,-71.3436,60.53,31,0,3.44,clear sky
145,Kruisfontein,ZA,2022-07-07 15:48:49,-34.0033,24.7314,56.88,87,98,4.03,overcast clouds
146,Xuddur,SO,2022-07-07 15:51:18,4.1213,43.8894,78.24,53,100,18.25,overcast clouds
147,Dikson,RU,2022-07-07 15:48:38,73.5069,80.5464,36.73,84,100,8.79,light rain
148,Humaita,BR,2022-07-07 15:51:19,-7.5061,-63.0208,93.74,31,0,4.0,clear sky
149,Ebersberg,DE,2022-07-07 15:51:19,48.0771,11.9706,63.81,86,99,8.95,light rain
150,Kayerkan,RU,2022-07-07 15:51:20,69.3497,87.7602,53.53,54,74,1.32,broken clouds
151,Sangmelima,CM,2022-07-07 15:51:20,2.9333,11.9833,76.5,85,94,2.06,light rain
152,Urumqi,CN,2022-07-07 15:51:20,43.801,87.6005,74.35,33,0,4.47,clear sky
153,Saldanha,ZA,2022-07-07 15:49:09,-33.0117,17.9442,64.45,79,7,5.37,clear sky
154,Sandnessjoen,NO,2022-07-07 15:51:21,66.0217,12.6316,55.92,93,75,5.75,broken clouds
155,Chuy,UY,2022-07-07 15:48:41,-33.6971,-53.4616,60.31,54,0,11.39,clear sky
156,Taoudenni,ML,2022-07-07 15:51:21,22.6783,-3.9836,114.53,8,7,2.77,clear sky
157,Kavaratti,IN,2022-07-07 15:50:05,10.5669,72.642,81.37,82,100,17.49,light rain
158,Pisco,PE,2022-07-07 15:49:04,-13.7,-76.2167,61.02,82,100,8.05,mist
159,Port-Gentil,GA,2022-07-07 15:51:22,-0.7193,8.7815,75.16,83,100,12.66,overcast clouds
160,Akdepe,TM,2022-07-07 15:51:23,42.0551,59.3788,82.49,25,0,13.11,clear sky
161,Contamana,PE,2022-07-07 15:49:31,-7.3333,-75.0167,90.39,47,6,2.77,clear sky
162,Boralday,KZ,2022-07-07 15:51:23,43.3578,76.8594,71.46,49,75,4.47,broken clouds
163,Qaanaaq,GL,2022-07-07 15:48:32,77.484,-69.3632,43.63,64,26,0.76,scattered clouds
164,Sambava,MG,2022-07-07 15:51:23,-14.2667,50.1667,71.33,78,5,17.0,light rain
165,Mayor Pablo Lagerenza,PY,2022-07-07 15:51:24,-19.9309,-60.7718,93.11,29,3,15.79,clear sky
166,Zhezkazgan,KZ,2022-07-07 15:49:28,47.8043,67.7144,67.89,51,78,14.32,broken clouds
167,Muyezerskiy,RU,2022-07-07 15:51:24,63.9333,31.65,65.14,51,93,5.68,overcast clouds
